Timestamp,Language,Text,Audio,Video,Image,Caption
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/135.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/136.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/137.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/955.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/958.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1350.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1351.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1352.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1353.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1354.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1355.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1356.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1357.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1358.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1359.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1360.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1361.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1362.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1363.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1364.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1365.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1366.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1367.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1368.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1369.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1370.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1371.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1372.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1373.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1374.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1375.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1376.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1377.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1379.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1381.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1384.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/1385.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9542.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9605.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9606.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9607.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9608.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9610.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9611.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9612.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9613.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9614.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9615.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9616.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9617.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9618.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9619.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9620.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9621.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9622.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9623.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9624.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9625.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9626.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9627.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9628.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9629.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9630.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9631.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9632.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9633.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9634.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9635.mp3,,,
8/15/2025 15:14,Hindi,Hindi Audio File,data/uploads/audio/9636.mp3,,,
